flare_id,duration,att_in,peak_UTC,LC0_BKG,_id,GOES_class,GOES_flux,goes_estimated_min_class,goes_estimated_max_class,goes_estimated_mean_class,goes_estimated_min_flux,goes_estimated_max_flux,goes_estimated_mean_flux,CFL_X_arcsec,CFL_Y_arcsec,start_UTC,end_UTC,LC0_PEAK_COUNTS_4S,LC0_BKG_COUNTS_4S,LC1_PEAK_COUNTS_4S,LC1_BKG_COUNTS_4S,LC2_PEAK_COUNTS_4S,LC2_BKG_COUNTS_4S,LC3_PEAK_COUNTS_4S,LC3_BKG_COUNTS_4S,LC4_PEAK_COUNTS_4S,LC4_BKG_COUNTS_4S,filenames
2501010855,1848,False,2025-01-01T08:55:32.375,221.40000000000006,70207,C4.4,4.4147518565296195e-06,B6,C1,B9,-6.193445558406343,-5.896170443199272,-6.051165600802808,,,2025-01-01T08:44:12.374,2025-01-01T09:15:00.377,1343,303.0,167,41.0,75,49.0,735,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T084424-20250101T091500_V02_2501012111-57451.fits
2501010928,1220,False,2025-01-01T09:28:20.379,221.40000000000006,70208,C5.1,5.080917162558762e-06,B10,C2,C1,-6.021051044850333,-5.693237121925963,-5.863501683388148,,,2025-01-01T09:17:12.377,2025-01-01T09:37:32.380,2687,303.0,271,41.0,75,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T091515-20250101T093938_V02_2501018303-57292.fits
2501011018,2248,False,2025-01-01T10:18:44.384,221.40000000000006,70211,C7.2,7.207499947980978e-06,C2,C4,C3,-5.7242662057734615,-5.350087725315956,-5.543534565544709,,,2025-01-01T10:08:24.383,2025-01-01T10:45:52.387,8703,303.0,671,41.0,151,49.0,671,607.0,367,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T100641-20250101T104753_V02_2501013103-57294.fits
2501011104,1620,False,2025-01-01T11:04:44.389,221.40000000000006,70185,C4.7,4.693206392403226e-06,B7,C1,B9,-6.170444255348653,-5.86889924411787,-6.026029349733261,,,2025-01-01T11:00:36.389,2025-01-01T11:27:36.392,1471,303.0,167,41.0,75,49.0,671,607.0,367,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T110051-20250101T112749_V02_2501012870-57298.fits
2501011320,260,False,2025-01-01T13:20:52.404,256.8217164487605,70220,C3.8,3.8112596030259738e-06,B7,C2,C1,-6.1303331920503705,-5.821495946558719,-5.9822721693045455,,,2025-01-01T13:19:28.404,2025-01-01T13:23:48.405,1727,303.0,151,41.0,67,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T131416-20250101T143818_V02_2501016438-57453.fits
2501011331,384,False,2025-01-01T13:31:56.405,256.8217164487605,70221,C5.7,5.70952397538349e-06,C1,C3,C2,-5.941175005847062,-5.6002118604382405,-5.7770510331426514,,,2025-01-01T13:29:04.405,2025-01-01T13:35:28.406,3711,303.0,303,41.0,99,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T131416-20250101T143818_V02_2501016438-57453.fits
2501011340,68,False,2025-01-01T13:40:24.406,279.4339420529272,70222,C5.5,5.4501269914908335e-06,B7,C1,B9,-6.1704660704556575,-5.8689250776354305,-6.026053174045543,,,2025-01-01T13:39:40.406,2025-01-01T13:40:48.406,1471,303.0,99,41.0,57,49.0,671,607.0,367,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T131416-20250101T143818_V02_2501016438-57453.fits
2501011345,56,False,2025-01-01T13:45:40.407,279.4339420529272,70223,C5.0,5.01515569339972e-06,B6,C1,B8,-6.219097141498447,-5.926664439801717,-6.079238390650082,,,2025-01-01T13:45:12.407,2025-01-01T13:46:08.407,1215,303.0,91,41.0,61,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T131416-20250101T143818_V02_2501016438-57453.fits
2501011357,664,False,2025-01-01T13:57:20.408,279.4339420529272,70224,C5.1,5.12362248628051e-06,B9,C2,C1,-6.045782720858301,-5.722157670869505,-5.890327795863903,,,2025-01-01T13:51:20.408,2025-01-01T14:02:24.409,2431,303.0,247,41.0,83,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T131416-20250101T143818_V02_2501016438-57453.fits
2501011407,1436,False,2025-01-01T14:07:04.409,279.4339420529272,70225,C5.8,5.771380529040471e-06,C1,C2,C1,-5.998630549469212,-5.667068733898851,-5.839207241684031,,,2025-01-01T14:03:32.409,2025-01-01T14:27:28.412,2943,303.0,303,41.0,115,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T131416-20250101T143818_V02_2501016438-57453.fits
2501011421,248,False,2025-01-01T14:21:40.411,251.72502315080283,70229,C5.7,5.733576472266577e-06,B8,C2,C1,-6.073232947242034,-5.7543272189198325,-5.920137683080934,,,2025-01-01T14:20:00.411,2025-01-01T14:24:08.411,2175,303.0,167,41.0,67,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T131416-20250101T143818_V02_2501016438-57453.fits
2501011522,684,False,2025-01-01T15:22:36.318,251.72502315080283,70230,M1.0,1.0248628314002417e-05,C5,M1,C7,-5.341018423105139,-4.9148264964184225,-5.134280059761781,,,2025-01-01T15:18:28.317,2025-01-01T15:29:52.319,34815,303.0,2943,41.0,367,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T150206-20250101T153438_V02_2501015538-61847.fits
2501011709,868,False,2025-01-01T17:09:44.329,271.33782212767846,70236,C4.3,4.288384843675885e-06,B8,C2,C1,-6.073259249001853,-5.754358078946755,-5.920166263974304,,,2025-01-01T17:03:28.329,2025-01-01T17:17:56.330,2175,303.0,215,41.0,75,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T170031-20250101T174938_V02_2501014337-57454.fits
2501011739,1084,False,2025-01-01T17:39:16.333,271.33782212767846,70238,C6.2,6.23134747002041e-06,B8,C2,C1,-6.112616758815067,-5.800617721301263,-5.962974840058164,,,2025-01-01T17:29:12.331,2025-01-01T17:47:16.333,1855,303.0,167,41.0,67,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T170031-20250101T174938_V02_2501014337-57454.fits
2501011815,3488,False,2025-01-01T18:15:24.336,271.33782212767846,70239,M1.3,1.2525292731879745e-05,C6,M2,C9,-5.251469273875423,-4.8140693555727285,-5.0391269147240765,,,2025-01-01T17:52:04.334,2025-01-01T18:50:12.340,47103,303.0,5375,41.0,863,49.0,671,607.0,367,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T175003-20250101T185217_V02_2501015307-57307.fits
2501011853,300,False,2025-01-01T18:53:36.341,271.33782212767846,70240,C5.9,5.885680366191082e-06,B6,C1,B8,-6.219141337661411,-5.9267170549469546,-6.079286796304183,,,2025-01-01T18:51:12.340,2025-01-01T18:56:12.341,1215,303.0,123,41.0,67,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T185114-20250101T185616_V02_2501012302-57308.fits
2501011947,1800,False,2025-01-01T19:47:12.347,271.33782212767846,70245,C8.0,7.99974259280134e-06,C2,C6,C4,-5.622013191302272,-5.23322819334096,-5.4339782923216156,,,2025-01-01T19:38:20.346,2025-01-01T20:08:20.349,12799,303.0,1471,41.0,271,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T193549-20250101T201449_V02_2501012881-57456.fits
2501012023,340,False,2025-01-01T20:23:16.351,271.33782212767846,70247,C4.5,4.521408300206531e-06,B7,C1,B10,-6.149600299561806,-5.844242124826796,-6.003278812194301,,,2025-01-01T20:20:12.351,2025-01-01T20:25:52.351,1599,303.0,115,41.0,67,49.0,671,607.0,367,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T201317-20250101T233042_V02_2501010634-57457.fits
2501012101,2160,False,2025-01-01T21:01:36.355,271.33782212767846,70248,C6.1,6.1054888647049665e-06,C1,C3,C2,-5.901553898442462,-5.554267574364319,-5.73426833640339,,,2025-01-01T20:30:20.352,2025-01-01T21:06:20.355,4351,303.0,543,41.0,107,49.0,735,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T201317-20250101T233042_V02_2501010634-57457.fits
2501012140,2272,False,2025-01-01T21:40:40.359,271.33782212767846,70249,M1.2,1.1644191545201465e-05,C5,M1,C7,-5.341102400868262,-4.9149211319735855,-5.134369366420924,,,2025-01-01T21:13:08.356,2025-01-01T21:51:00.360,34815,303.0,3967,41.0,495,49.0,735,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T201317-20250101T233042_V02_2501010634-57457.fits
2501012159,488,False,2025-01-01T21:59:56.361,271.33782212767846,70250,C5.7,5.692748345609289e-06,C2,C4,C2,-5.8039529665176826,-5.441596226168526,-5.629132196343105,,,2025-01-01T21:56:16.361,2025-01-01T22:04:24.362,6399,303.0,863,41.0,167,49.0,671,607.0,367,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T201317-20250101T233042_V02_2501010634-57457.fits
2501012226,4268,False,2025-01-01T22:26:00.364,271.33782212767846,70252,C7.7,7.718520464550238e-06,C2,C6,C4,-5.644435352182416,-5.258802584367544,-5.457976568274981,,,2025-01-01T22:10:12.362,2025-01-01T23:21:20.370,11775,303.0,1087,41.0,151,49.0,671,607.0,367,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T201317-20250101T233042_V02_2501010634-57457.fits
2501020325,1608,False,2025-01-02T03:25:08.397,216.93437077575342,70274,C4.1,4.09346648666542e-06,B7,C2,C1,-6.130469180473017,-5.82165634080606,-5.982420360639539,,,2025-01-02T03:15:20.396,2025-01-02T03:42:08.399,1727,303.0,215,41.0,75,49.0,735,607.0,367,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T031537-20250102T034217_V02_2501022226-57459.fits
2501020421,696,False,2025-01-02T04:21:40.403,216.93437077575342,70277,C3.7,3.7263314425217686e-06,B6,C1,B8,-6.219231277955583,-5.926824128899952,-6.079385303427768,,,2025-01-02T04:18:28.403,2025-01-02T04:30:04.404,1215,303.0,151,41.0,67,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T041831-20250102T042646_V02_2501022031-57461.fits
2501020537,1928,False,2025-01-02T05:37:04.412,216.93437077575342,70284,C5.3,5.270133897283813e-06,C2,C6,C4,-5.644530259565853,-5.258910892982276,-5.458078176274065,,,2025-01-02T05:29:40.411,2025-01-02T06:01:48.416,11775,303.0,1343,41.0,183,49.0,671,607.0,367,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T052745-20250102T060403_V02_2501029041-57629.fits
2501020616,4776,False,2025-01-02T06:16:04.417,216.93437077575342,70285,C7.6,7.582119906146545e-06,C3,C8,C5,-5.5074251611438445,-5.102939828939831,-5.311540095041837,,,2025-01-02T06:08:24.416,2025-01-02T07:28:00.423,19455,303.0,2431,41.0,495,49.0,735,607.0,367,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T060443-20250102T062907_V02_2501028630-57256.fits
2501020749,2024,False,2025-01-02T07:49:00.426,216.93437077575342,70286,C4.9,4.862364676228026e-06,B9,C2,C1,-6.045970420931908,-5.722377387239936,-5.890531504085922,,,2025-01-02T07:41:32.425,2025-01-02T08:15:16.429,2431,303.0,199,41.0,75,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T064212-20250102T083225_V02_2501029612-57462.fits
2501020905,1436,False,2025-01-02T09:05:32.434,216.93437077575342,70288,C4.7,4.657531917473534e-06,C1,C3,C2,-5.873764813870302,-5.522116716604487,-5.704298365237395,,,2025-01-02T08:45:12.432,2025-01-02T09:09:08.435,4863,303.0,543,41.0,99,49.0,671,607.0,367,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T084322-20250102T091123_V02_2501028512-57322.fits
2501021005,560,False,2025-01-02T10:05:08.441,240.05499160310728,70256,C4.3,4.310412350605475e-06,C1,C2,C2,-5.978229604989754,-5.643296926624838,-5.817120865807296,,,2025-01-02T09:59:12.440,2025-01-02T10:08:32.441,3199,303.0,271,41.0,91,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T095632-20250102T104233_V02_2501025672-57463.fits
2501021010,80,False,2025-01-02T10:10:44.441,240.05499160310728,70257,C4.1,4.083362910023425e-06,B6,C1,B8,-6.248210481792273,-5.961382351206639,-6.111154016499456,,,2025-01-02T10:09:56.441,2025-01-02T10:11:16.441,1087,303.0,91,41.0,67,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T095632-20250102T104233_V02_2501025672-57463.fits
